unique_id,ds,y,premium_chg,fundingRate,vol_chg,trades_chg,taker_buy_share,rv_24,hour_sin,hour_cos,dow_sin,dow_cos,fundingRate_missing,taker_buy_share_missing
BTCUSDT,2025-05-14 01:00:00,-0.001750973866196,-6.310000000000007e-05,6.847e-05,0.2889090478711935,0.2519663073966853,0.489269889811569,0.003555724714088,0.2588190451025207,0.9659258262890684,0.9749279121818236,-0.2225209339563143,0,0
BTCUSDT,2025-05-14 02:00:00,-7.426973323632069e-05,0.00023874,6.847e-05,-0.2339570847388365,-0.3152862443260975,0.510622091703358,0.0034689292232452,0.4999999999999999,0.8660254037844387,0.9749279121818236,-0.2225209339563143,0,0
BTCUSDT,2025-05-14 03:00:00,-0.0011881007953373,-0.0001034699999999,6.847e-05,-0.4243679484822369,-0.3649843409276911,0.4938462483903316,0.0033822409095879,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.2225209339563143,0,0
BTCUSDT,2025-05-14 04:00:00,0.0015121464307412,7.176999999999997e-05,6.847e-05,-0.009927140441901,-0.0118400070211723,0.5355936781909154,0.0027650859343,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,0,0
BTCUSDT,2025-05-14 05:00:00,0.0014492043958149,3.0389999999999985e-05,6.847e-05,0.215550648296924,0.1003208838413236,0.5861058492591211,0.0026943444556124,0.9659258262890684,0.2588190451025207,0.9749279121818236,-0.2225209339563143,0,0
BTCUSDT,2025-05-14 06:00:00,-0.0014318477711761,-0.00016225,6.847e-05,-0.3882933345373605,-0.1085758870761512,0.5159224722106017,0.0027248840129888,1.0,6.123233995736766e-17,0.9749279121818236,-0.2225209339563143,0,0
BTCUSDT,2025-05-14 07:00:00,-0.0004388293646293,3.954000000000002e-05,6.847e-05,0.6524399162421091,0.3121708322231811,0.4771659420669424,0.0027273244205438,0.9659258262890684,-0.2588190451025206,0.9749279121818236,-0.2225209339563143,0,0
BTCUSDT,2025-05-14 08:00:00,-0.0048902832075832,-0.0001868999999999,7.542e-05,0.379076737981034,0.3897113576440425,0.4490014687271071,0.0029344284534372,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.2225209339563143,0,0
BTCUSDT,2025-05-14 09:00:00,0.0027348144182521,0.0002039899999999,7.542e-05,0.3527263690622373,0.1874622367096368,0.5097215231066801,0.002605783045996,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.2225209339563143,0,0
BTCUSDT,2025-05-14 10:00:00,0.0021680094439631,8.340000000000018e-06,7.542e-05,-0.1879988814131774,-0.2183615060844435,0.4858566766487284,0.002634773713384,0.4999999999999999,-0.8660254037844387,0.9749279121818236,-0.2225209339563143,0,0
BTCUSDT,2025-05-14 11:00:00,0.0023115449218558,4.322000000000001e-05,7.542e-05,-0.4656280749974382,-0.3055106675630199,0.4932926429285789,0.0026560458041153,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.2225209339563143,0,0
