ts,target_log_ret_1h,log_ret_1h,abs_ret,rv_6,rv_24,rv_72,volume,num_trades,fundingRate,hour_sin,hour_cos,dow_sin,dow_cos
2023-11-25 04:00:00+00:00,0.0011325958558447,-0.0006087974057393,0.0006087974057393,0.0010445839637688,0.0041325277724908,0.0038746102025591,2111.614,35204,0.0001,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
2023-11-25 05:00:00+00:00,-0.0004973374034094,0.0011325958558447,0.0011325958558447,0.0010636416910922,0.0041207962632821,0.0038685378505311,3316.448,41119,0.0001,0.9659258262890684,0.2588190451025207,-0.9749279121818236,-0.2225209339563146
2023-11-25 06:00:00+00:00,8.202479534702434e-05,-0.0004973374034094,0.0004973374034094,0.001133742152749,0.0041117168869007,0.0038457837521157,2083.273,33732,0.0001,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146
2023-11-25 07:00:00+00:00,-0.0009794449712892,8.202479534702434e-05,8.202479534702434e-05,0.0008349987786339,0.0040468775898556,0.0038326506746228,2818.664,39804,0.0001,0.9659258262890684,-0.2588190451025206,-0.9749279121818236,-0.2225209339563146
2023-11-25 08:00:00+00:00,-0.0005298294073288,-0.0009794449712892,0.0009794449712892,0.0007833664164473,0.0040161173408342,0.0038187554352517,2496.478,38075,0.0001,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146
2023-11-25 09:00:00+00:00,-0.0015168634602371,-0.0005298294073288,0.0005298294073288,0.0007510628618713,0.0038870602880283,0.0038048279854168,4702.006,57533,0.0001,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146
2023-11-25 10:00:00+00:00,-0.0009505376031988,-0.0015168634602371,0.0015168634602371,0.0009153451904529,0.0038988347311635,0.0038097613570056,5169.514,64439,0.0001,0.4999999999999999,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146
2023-11-25 11:00:00+00:00,0.0019319882659427,-0.0009505376031988,0.0009505376031988,0.000544715375079,0.0038268792330365,0.0037512173491895,6742.648,77516,0.0001,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146
2023-11-25 12:00:00+00:00,-3.7118442302030985e-05,0.0019319882659427,0.0019319882659427,0.0012281471899896,0.0038453322187471,0.0037466802291002,3288.856,43367,0.0001,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146
2023-11-25 13:00:00+00:00,-0.0011460467950037,-3.7118442302030985e-05,3.7118442302030985e-05,0.0012211523637755,0.003832868139538,0.0037464731141832,3325.833,45042,0.0001,-0.2588190451025208,-0.9659258262890684,-0.9749279121818236,-0.2225209339563146
2023-11-25 14:00:00+00:00,0.0006527709828318,-0.0011460467950037,0.0011460467950037,0.0012401563920329,0.0038348048763736,0.003687829544067,2525.031,40483,0.0001,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146
2023-11-25 15:00:00+00:00,0.0010631571994981,0.0006527709828318,0.0006527709828318,0.0013029629335446,0.0030268492349132,0.0036824695689175,3241.256,45782,0.0001,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146
2023-11-25 16:00:00+00:00,0.0007337408528815,0.0010631571994981,0.0010631571994981,0.0011937482265377,0.0015772001599449,0.0036820684402292,3295.061,44743,0.0001,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146
2023-11-25 17:00:00+00:00,0.0011723377304466,0.0007337408528815,0.0007337408528815,0.0010427952762146,0.0014524893097435,0.0036689345229861,3366.851,43687,0.0001,-0.9659258262890684,-0.2588190451025206,-0.9749279121818236,-0.2225209339563146
2023-11-25 18:00:00+00:00,-0.0001057979946974,0.0011723377304466,0.0011723377304466,0.0008709352385392,0.0013186626600052,0.0031087510150213,2727.874,40016,0.0001,-1.0,-1.8369701987210294e-16,-0.9749279121818236,-0.2225209339563146
